date,symbol,price,peg_deviation,peg_volatility_7d,peg_volatility_30d,price_low,peg_deviation_low,low_source,source
2021-01-03,DAI,1.0004891683546655,0.0004891683546657,0.0019449628600339,,1.0004891683546655,0.0004891683546657,defillama_daily,defillama_coins_coingecko_daily
2021-01-03,FRAX,1.0077759353478395,0.0077759353478397,0.0062066506983788,,1.0077759353478395,0.0077759353478397,defillama_daily,defillama_coins_coingecko_daily
2021-01-03,TUSD,1.0013714872976995,0.0013714872976995,,,1.0013714872976995,0.0013714872976995,defillama_daily,defillama_coins_coingecko_daily
2021-01-03,USDC,1.0053110995295171,0.0053110995295171,,,1.0053110995295171,0.0053110995295171,defillama_daily,defillama_coins_coingecko_daily
2021-01-03,USDP,0.9993934319484185,0.0006065680515816,0.0004864050114477,,0.9993934319484185,0.0006065680515816,defillama_daily,defillama_coins_coingecko_daily
2021-01-03,USDT,1.0031205093162412,0.0031205093162411,0.0012141267895993,,1.0031205093162412,0.0031205093162411,defillama_daily,defillama_coins_coingecko_daily
2021-01-03,UST,1.0063848882758477,0.0063848882758477,0.0079947566626614,,1.0063848882758477,0.0063848882758477,defillama_daily,defillama_coins_coingecko_daily
2021-01-04,BUSD,0.99804575730155,0.0019542426984501,0.0031005526531684,,0.99804575730155,0.0019542426984501,defillama_daily,defillama_coins_coingecko_daily
2021-01-04,DAI,1.0078514660385829,0.0078514660385826,0.0031159628057192,,1.0078514660385829,0.0078514660385826,defillama_daily,defillama_coins_coingecko_daily
2021-01-04,FRAX,0.9883320993971664,0.0116679006028336,0.0109361643454025,,0.9883320993971664,0.0116679006028336,defillama_daily,defillama_coins_coingecko_daily
2021-01-04,TUSD,0.9982745164983424,0.0017254835016576,0.0015495538345198,,0.9982745164983424,0.0017254835016576,defillama_daily,defillama_coins_coingecko_daily
2021-01-04,USDC,1.0004231620657849,0.0004231620657848,0.0028503369863959,,1.0004231620657849,0.0004231620657848,defillama_daily,defillama_coins_coingecko_daily
2021-01-04,USDP,0.9914113247526908,0.0085886752473093,0.0041227024441537,,0.9914113247526908,0.0085886752473093,defillama_daily,defillama_coins_coingecko_daily
2021-01-04,USDT,0.9996642920467034,0.0003357079532966,0.0014599719343797,,0.9996642920467034,0.0003357079532966,defillama_daily,defillama_coins_coingecko_daily
2021-01-04,UST,0.9828304577374336,0.0171695422625665,0.0109743384426791,,0.9828304577374336,0.0171695422625665,defillama_daily,defillama_coins_coingecko_daily
2021-01-05,BUSD,0.99888047991782,0.00111952008218,0.0028499724250713,,0.99888047991782,0.00111952008218,defillama_daily,defillama_coins_coingecko_daily
2021-01-05,DAI,0.9781547141715012,0.0218452858284986,0.0117952084870924,,0.9781547141715012,0.0218452858284986,defillama_daily,defillama_coins_coingecko_daily
2021-01-05,FRAX,0.989015010233856,0.010984989766144,0.011317475043244,,0.989015010233856,0.010984989766144,defillama_daily,defillama_coins_coingecko_daily
2021-01-05,TUSD,0.9791761621341764,0.0208238378658236,0.0103841758647475,,0.9791761621341764,0.0208238378658236,defillama_daily,defillama_coins_coingecko_daily
2021-01-05,USDP,0.9774763367270268,0.0225236632729732,0.0096680601430541,,0.9774763367270268,0.0225236632729732,defillama_daily,defillama_coins_coingecko_daily
2021-01-05,USDT,0.9744295668729072,0.0255704331270927,0.012070708284842,,0.9744295668729072,0.0255704331270927,defillama_daily,defillama_coins_coingecko_daily
2021-01-05,UST,0.9931721216422018,0.0068278783577981,0.0095916011915436,,0.9931721216422018,0.0068278783577981,defillama_daily,defillama_coins_coingecko_daily
2021-01-06,DAI,1.0001297315654205,0.0001297315654205,0.0105662018618112,,1.0001297315654205,0.0001297315654205,defillama_daily,defillama_coins_coingecko_daily
2021-01-06,FRAX,0.9985679689839252,0.0014320310160749,0.0101419119757119,,0.9985679689839252,0.0014320310160749,defillama_daily,defillama_coins_coingecko_daily
2021-01-06,TUSD,1.0006206063885743,0.0006206063885743,0.0093827248598789,,1.0006206063885743,0.0006206063885743,defillama_daily,defillama_coins_coingecko_daily
2021-01-06,USDC,0.9976254607168704,0.0023745392831295,0.0032007660307511,,0.9976254607168704,0.0023745392831295,defillama_daily,defillama_coins_coingecko_daily
